Date,Name,Year,Letterboxd URI
2023-12-10,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY
2023-12-10,Perfect Blue,1997,https://boxd.it/1W7A
2023-12-10,Alice,1988,https://boxd.it/1G3C
2024-01-21,Saltburn,2023,https://boxd.it/z4eg
2024-01-21,The Favourite,2018,https://boxd.it/d2hI
2024-01-21,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G
2024-01-22,Anatomy of a Fall,2023,https://boxd.it/yuDE
2024-01-26,Foe,2023,https://boxd.it/sy7U
2024-01-27,The Matrix Resurrections,2021,https://boxd.it/n87k
2024-02-09,Poor Things,2023,https://boxd.it/tNWU
2024-02-23,Killers of the Flower Moon,2023,https://boxd.it/gHp0
2024-02-23,Past Lives,2023,https://boxd.it/oNB8
2024-02-25,The Holdovers,2023,https://boxd.it/vHza
2024-04-29,Stalker,1979,https://boxd.it/28PO
2024-05-01,Children of Men,2006,https://boxd.it/1Y2i
2024-05-04,Perfect Days,2023,https://boxd.it/ATh8
2024-05-10,Nope,2022,https://boxd.it/sDCe
2024-05-13,Dune: Part Two,2024,https://boxd.it/pUfA
2024-05-13,The Hateful Eight,2015,https://boxd.it/8gw8
2024-05-21,Late Night with the Devil,2023,https://boxd.it/zo6G
2024-06-03,Little Women,2019,https://boxd.it/aSVk
2024-06-09,Do Not Expect Too Much from the End of the World,2023,https://boxd.it/zkHI
2024-07-01,La Dolce Vita,1960,https://boxd.it/2anC
2024-07-16,American Fiction,2023,https://boxd.it/DYHm
2024-07-16,MaXXXine,2024,https://boxd.it/CIM4
2024-09-24,Longlegs,2024,https://boxd.it/KzLM
2024-10-06,Kinds of Kindness,2024,https://boxd.it/CWPw
2024-10-09,Angel's Egg,1985,https://boxd.it/1LeA
2024-11-26,The Substance,2024,https://boxd.it/zanS
2024-11-26,I'm Still Here,2024,https://boxd.it/BPEO
2024-12-13,Alien: Romulus,2024,https://boxd.it/zGqO
2024-12-13,Aliens,1986,https://boxd.it/29PA
2024-12-22,Challengers,2024,https://boxd.it/zld0
2025-01-04,Nosferatu,2024,https://boxd.it/f5eG
2025-01-06,A Real Pain,2024,https://boxd.it/CjNG
2025-01-08,The Rogue's Trial,2024,https://boxd.it/FB6Q
2025-01-08,Apocalypse Now,1979,https://boxd.it/6ZS
2025-01-12,TÁR,2022,https://boxd.it/uNIA
2025-01-30,Conclave,2024,https://boxd.it/AO8q
2025-02-01,Anora,2024,https://boxd.it/Egcw
2025-02-03,Flow,2024,https://boxd.it/v1Ei
2025-03-04,The Brutalist,2024,https://boxd.it/k4BO
2025-04-14,Mickey 17,2025,https://boxd.it/q1Dk
2025-04-28,Dreams,1990,https://boxd.it/1ROu
2025-05-04,Uncle Boonmee Who Can Recall His Past Lives,2010,https://boxd.it/168Q
2025-05-04,Memoria,2021,https://boxd.it/iwtE
2025-05-04,Police Story,1985,https://boxd.it/1Zhe
2025-05-11,The Spirit of the Beehive,1973,https://boxd.it/24eY
2025-05-11,The Double Life of Véronique,1991,https://boxd.it/28va
2025-05-13,Mirror,1975,https://boxd.it/28Q8
2025-06-16,The Phoenician Scheme,2025,https://boxd.it/H0Ca
2025-06-16,The Salt of the Earth,2014,https://boxd.it/7Uyc
2025-06-16,Wings of Desire,1987,https://boxd.it/2b26
2025-06-24,Twenty Years Later,1984,https://boxd.it/33Oo
2025-06-24,The Scavengers,1993,https://boxd.it/7AEY
2025-06-24,Babilônia 2000,2001,https://boxd.it/7v84
2025-07-21,Before What Comes After,2024,https://boxd.it/MuEK
2025-07-21,Suspiria,2018,https://boxd.it/cioI
2025-09-01,Vice Is Broke,2024,https://boxd.it/ODHC
2025-09-07,Lamb,2021,https://boxd.it/tFwE
2025-10-04,The Fly,1986,https://boxd.it/1YIe
2025-11-10,Frankenstein,2025,https://boxd.it/Ecsg
2025-11-10,Sinners,2025,https://boxd.it/KQMM
2025-11-10,Arrival,2016,https://boxd.it/aNGk
2025-12-22,Crimes of the Future,2022,https://boxd.it/uTuY
2025-12-23,Triangle of Sadness,2022,https://boxd.it/hXlq
2025-12-28,Network,1976,https://boxd.it/1VqG
2025-12-30,The Secret Agent,2025,https://boxd.it/KkUE
2026-01-06,"Sorry, Baby",2025,https://boxd.it/JKNi
2026-01-09,Marty Supreme,2025,https://boxd.it/Off0
2026-01-11,The Red Light Bandit,1968,https://boxd.it/5ESQ
